Astrobee Movement Tracking Data
Time: 0.00, Position: (0.73, 4.91, 4.56), Rotation: (0.00, 298.71, 0.00)
Time: 0.02, Position: (0.73, 4.91, 4.56), Rotation: (359.96, 298.75, 0.02)
Time: 0.09, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 298.79, 0.03)
Time: 0.11, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 298.79, 0.03)
Time: 0.11, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 298.88, 0.03)
Time: 0.11, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 298.90, 0.03)
Time: 0.12, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 298.91, 0.03)
Time: 0.12, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 298.93, 0.03)
Time: 0.12, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 298.94, 0.04)
Time: 0.13, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 298.95, 0.03)
Time: 0.13, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 298.98, 0.03)
Time: 0.13, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 298.99, 0.03)
Time: 0.13, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 298.99, 0.03)
Time: 0.13, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.00, 0.03)
Time: 0.13, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.01, 0.03)
Time: 0.14, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.02, 0.03)
Time: 0.14, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.03, 0.03)
Time: 0.14, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.03, 0.04)
Time: 0.14, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.04, 0.04)
Time: 0.15, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.05, 0.04)
Time: 0.15, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.07, 0.04)
Time: 0.15, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.07, 0.04)
Time: 0.15, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.08, 0.04)
Time: 0.15, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.09, 0.04)
Time: 0.15, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.10, 0.04)
Time: 0.16, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.11, 0.04)
Time: 0.16, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.12, 0.04)
Time: 0.16, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.12, 0.04)
Time: 0.16, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.12, 0.04)
Time: 0.16, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.14, 0.04)
Time: 0.17, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.15, 0.04)
Time: 0.17, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.15, 0.04)
Time: 0.17, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.16, 0.04)
Time: 0.17, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.17, 0.04)
Time: 0.17, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.18, 0.04)
Time: 0.17, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.18, 0.04)
Time: 0.17, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.19, 0.04)
Time: 0.18, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.20, 0.04)
Time: 0.18, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.21, 0.04)
Time: 0.18, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.21, 0.04)
Time: 0.18, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.22, 0.04)
Time: 0.19, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.24, 0.04)
Time: 0.19, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.25, 0.04)
Time: 0.19, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.25, 0.04)
Time: 0.19, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.26, 0.04)
Time: 0.19, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.27, 0.04)
Time: 0.19, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.28, 0.04)
Time: 0.19, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.28, 0.04)
Time: 0.20, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.29, 0.04)
Time: 0.20, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.30, 0.04)
Time: 0.20, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.30, 0.04)
Time: 0.20, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.30, 0.04)
Time: 0.20, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.31, 0.04)
Time: 0.20, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.32, 0.04)
Time: 0.21, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.33, 0.04)
Time: 0.21, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.34, 0.04)
Time: 0.21, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.35, 0.04)
Time: 0.21, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.35, 0.04)
Time: 0.21, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.36, 0.04)
Time: 0.21, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.37, 0.04)
Time: 0.21, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.38, 0.04)
Time: 0.22, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.38, 0.04)
Time: 0.22, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.39, 0.04)
Time: 0.22, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.40, 0.04)
Time: 0.22, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.40, 0.04)
Time: 0.22, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.40, 0.04)
Time: 0.22, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.42, 0.04)
Time: 0.23, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.42, 0.04)
Time: 0.23, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.43, 0.04)
Time: 0.23, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.44, 0.04)
Time: 0.23, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.45, 0.04)
Time: 0.23, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.45, 0.04)
Time: 0.23, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.46, 0.04)
Time: 0.23, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.47, 0.04)
Time: 0.24, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.48, 0.04)
Time: 0.24, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.48, 0.04)
Time: 0.24, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.49, 0.04)
Time: 0.24, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.49, 0.04)
Time: 0.24, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.50, 0.04)
